UF,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NORTE, -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.4,0.6,32.3,74.6,42,6.3,12.1,20,28.7,21.4,6.7,25.2,47.4,50.4,59.7,91.7,141.1,209.7,352.4,521.9,507.5,410.6,517.5,497.6,574.9,645.5,717.6,901.5,"1,178.90","1,441.20","1,576.30","1,809.00","1,931.70","1,988.30","2,090.60"
RR, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,6, -  ,1.8, -  , -  , -  ,0, -  ,3.5,3,12,20,10,5.5,15,8,1.4,3.7,3.7,12,18,23.8,24,30,38.2,40,49
RO, -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.4,0.6,4.3,15.6,7.8,2.4,0.1,4.5, -  ,4.8, -  ,3.3,4.7,8.7,11.8,25,28.6,41,59.5,74.4,106.4,90.4,99.8,106,122.3,132.3,143.5,167.7,191.1,231.5,252.6,296,333.6,333.7,348.4
AC, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.5,1.5,4
AM, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,1.1,2.1,2.1,2.8,1.9, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,1.5,2.2,2.4
AP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,18.9,20.2,20.9,20.9
PA, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,2.6,1.6,2.3,0.7,2.9,15.5,35.2,69,79.7,47,71.1,72.2,86.9,104.8,119.2,172.2,221.4,336.3,428.9,500.1,549.6,561.4,591.7
TO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,28,59,34.2,3.9,12,15.5,22.7,16.6,4.9,21.9,40.1,40.1,45.6,66,105,148.1,243.6,355.7,309.5,267.7,331.6,311.4,364.3,404.7,451.2,549.6,748.4,849.6,870.8,964,988.1,"1,028.60","1,074.20"
NORDESTE, -  , -  , -  ,1.9,2.4,1.2,5,28,73,117.7,180.6,246.7,410.1,385.4,282.6,351.1,422.7,503.6,575.9,532.3,593.9,728.9,772.8,851,962.6,"1,125.10","1,240.70","1,323.30","1,442.10","1,487.10","1,454.90","1,580.10","1,608.00","1,861.70","1,945.70","2,117.10","2,414.30","2,602.20","2,845.30","2,878.20","3,095.80","3,263.50","3,332.20","3,336.30"
MA, -  , -  , -  , -  , -  , -  , -  , -  ,10,8.7,8.5,16.2,21.9,16,4.6,21.1,42.7,62.8,91.7,89.1,120,144,162.7,175.7,210,238.3,274,342.5,375,382.5,384.4,421.5,387.4,502.1,518.2,559.7,586,662.2,749.6,786.3,821.7,951.5,992.4,976.4
PI, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.2,0.2,0.4, -  , -  , -  ,6.8,13.6,10.2,17.9,28.6,29.9,40,62,86.8,116.3,159.3,197.1,232,219.7,253.6,273.1,343.1,383.6,444.6,546.4,627.3,673.7,565,693.8,710.5,758.1,758.9
CE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RN, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
PB, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
PE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
AL, -  , -  , -  , -  , -  , -  , -  , -  , -  ,2,2.1,2.3,3,3, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,2.2,1.6,1
SE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
BA, -  , -  , -  ,1.9,2.4,1.2,5,28,63,107,170,228,385,366,278,330,380,434,470.6,433,456,556.3,580.2,635.3,690.6,800,850.4,821.5,870,872.6,850.8,905,947.5,"1,016.50","1,043.90","1,112.80","1,281.90","1,312.70","1,422.00","1,526.90","1,580.30","1,599.30","1,580.10","1,600.00"
CENTRO-OESTE,378,597,720,"1,117.00","1,249.00","1,364.00","1,647.00","2,141.90","2,837.00","2,813.30","2,867.80","3,379.10","4,054.50","3,706.00","2,946.20","3,283.50","3,808.60","4,244.30","4,559.80","3,694.70","3,983.80","5,060.20","4,955.10","5,394.70","5,759.50","6,970.50","8,048.40","9,659.30","10,857.00","10,742.60","9,105.10","9,634.80","9,900.10","10,539.20","10,819.40","11,495.20","12,778.20","13,909.40","14,616.10","14,925.10","15,193.60","15,648.80","16,102.80","16,574.40"
MT,310,6,19,70,128,195,317,467,795,909.5,"1,100.00","1,375.00","1,708.20","1,503.00","1,100.00","1,452.00","1,713.40","1,996.00","2,295.40","1,905.20","2,095.70","2,600.00","2,548.00","2,800.00","3,120.00","3,853.20","4,419.60","5,240.50","6,105.20","6,196.80","5,124.80","5,675.00","5,828.20","6,224.50","6,398.80","6,980.50","7,818.20","8,615.70","8,934.50","9,140.00","9,322.80","9,518.60","9,699.50","10,004.10"
MS, -  ,494,573,792,812,832,940,"1,073.90","1,307.00","1,234.00","1,184.00","1,231.00","1,300.00","1,209.00","1,013.10",969.5,"1,066.50","1,109.00","1,097.90",845.4,862.3,"1,086.50","1,053.90","1,106.60","1,064.50","1,192.20","1,415.10","1,797.20","2,030.80","1,949.60","1,737.10","1,731.40","1,715.80","1,712.20","1,760.10","1,815.00","2,017.00","2,120.00","2,300.50","2,430.00","2,522.30","2,672.00","2,853.70","2,950.70"
GO,68,97,128,247,294,320,370,571,690,621,540,730.4,990,940.5,790,820,984,"1,090.00","1,122.70",909.4,991.2,"1,338.10","1,324.70","1,454.50","1,540.00","1,887.40","2,170.50","2,572.00","2,662.00","2,542.20","2,191.40","2,179.70","2,307.20","2,549.50","2,605.60","2,644.70","2,888.00","3,101.70","3,325.00","3,285.10","3,278.50","3,386.70","3,476.40","3,545.10"
DF, -  , -  , -  ,8,15,17,20,30,45,48.8,43.8,42.7,56.3,53.5,43.1,42,44.7,49.3,43.8,34.7,34.6,35.6,28.5,33.6,35,37.7,43.2,49.6,59,54,51.8,48.7,48.9,53,54.9,55,55,72,56.1,70,70,71.5,73.2,74.5
SUDESTE,530,671,651,710,733,744,728,790,925,906,876.7,"1,010.50","1,189.00","1,165.00",972,919,"1,084.30","1,175.10","1,163.60","1,091.60","1,097.60","1,131.10","1,097.60","1,152.90","1,172.00","1,286.10","1,488.90","1,826.90","1,891.60","1,717.50","1,468.80","1,396.00","1,460.40","1,591.20","1,636.90","1,606.20","1,758.20","1,989.90","2,116.20","2,326.90","2,351.40","2,470.10","2,571.10","2,757.10"
MG,85,112,103,150,190,228,258,310,431,430,415,498,595,583,472,456,551.8,600,600,528,522.7,601.1,577.1,594.4,642,719,873.6,"1,065.80","1,119.10","1,060.90",930.4,870,929.1,"1,019.00","1,024.10","1,024.00","1,121.20","1,238.20","1,319.40","1,469.30","1,456.10","1,508.50","1,574.90","1,647.30"
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SP,445,559,548,560,543,516,470,480,494,476,461.7,512.5,594,582,500,463,532.5,575.1,563.6,563.6,574.9,530,520.5,558.5,530,567.1,615.3,761.1,772.5,656.6,538.4,526,531.3,572.2,612.8,582.2,637,751.7,796.8,857.6,895.3,961.6,996.2,"1,109.80"
SUL,"6,041.00","6,512.00","6,780.00","6,927.00","6,709.00","6,284.00","6,032.00","6,203.00","6,239.00","5,807.00","5,296.00","6,038.00","6,524.60","6,253.00","5,535.40","5,016.50","5,381.40","5,550.00","5,358.00","5,337.90","5,680.80","6,190.30","6,119.30","6,049.50","5,984.00","6,806.20","7,487.10","8,213.90","8,588.50","8,294.70","8,247.40","8,184.70","8,277.00","8,900.90","9,133.50","9,106.10","9,883.90","10,492.70","11,074.10","11,545.40","11,459.60","11,835.10","11,879.60","12,085.10"
PR,"2,200.00","2,349.00","2,350.00","2,420.00","2,350.00","2,197.00","2,050.00","2,200.00","2,170.00","2,140.00","1,776.00","2,149.00","2,406.90","2,286.00","1,966.00","1,797.50","2,000.00","2,110.00","2,120.60","2,311.50","2,496.40","2,820.00","2,769.20","2,835.60","2,818.00","3,283.00","3,637.60","3,935.90","4,148.40","3,982.50","3,978.50","3,977.30","4,069.20","4,485.10","4,590.50","4,460.60","4,752.80","5,010.40","5,224.80","5,451.30","5,249.60","5,464.80","5,437.50","5,502.70"
SC,351,409,480,520,510,484,415,436,432,406,360,413,433.7,390,300,249,281.4,278,222.4,222.4,240.2,220,215.6,204.8,196,241.3,255.8,307,350,344.8,376.9,373.4,385.3,439.6,458.2,448.3,512.5,542.7,600.1,639.1,640.4,678.2,664.6,680.6
RS,"3,490.00","3,754.00","3,950.00","3,987.00","3,849.00","3,603.00","3,567.00","3,567.00","3,637.00","3,261.00","3,160.00","3,476.00","3,684.00","3,577.00","3,269.40","2,970.00","3,100.00","3,162.00","3,015.00","2,804.00","2,944.20","3,150.30","3,134.50","3,009.10","2,970.00","3,281.90","3,593.70","3,971.00","4,090.10","3,967.40","3,892.00","3,834.00","3,822.50","3,976.20","4,084.80","4,197.20","4,618.60","4,939.60","5,249.20","5,455.00","5,569.60","5,692.10","5,777.50","5,901.80"
NORTE/NORDESTE, -  , -  , -  ,1.9,2.4,1.2,5,28,73,118.1,181.2,279,484.7,427.4,288.9,363.2,442.7,532.3,597.3,539,619.1,776.3,823.2,910.7,"1,054.30","1,266.20","1,450.40","1,675.70","1,964.00","1,994.60","1,865.50","2,097.60","2,105.60","2,436.60","2,591.20","2,834.70","3,315.80","3,781.10","4,286.50","4,454.50","4,904.80","5,195.20","5,320.50","5,426.90"
CENTRO-SUL,"6,949.00","7,780.00","8,151.00","8,754.00","8,691.00","8,392.00","8,407.00","9,134.90","10,001.00","9,526.30","9,040.50","10,427.60","11,768.10","11,124.00","9,453.60","9,219.00","10,274.30","10,969.40","11,081.40","10,124.20","10,762.20","12,381.60","12,172.00","12,597.10","12,915.50","15,062.80","17,024.40","19,700.10","21,337.10","20,754.80","18,821.30","19,215.50","19,637.50","21,031.30","21,589.80","22,207.50","24,420.30","26,392.00","27,806.40","28,797.40","29,004.60","29,954.00","30,553.50","31,416.60"
BRASIL,"6,949.00","7,780.00","8,151.00","8,755.90","8,693.40","8,393.20","8,412.00","9,162.90","10,074.00","9,644.40","9,221.70","10,706.60","12,252.80","11,551.40","9,742.50","9,582.20","10,717.00","11,501.70","11,678.70","10,663.20","11,381.30","13,157.90","12,995.20","13,507.80","13,969.80","16,329.00","18,474.80","21,375.80","23,301.10","22,749.40","20,686.80","21,313.10","21,743.10","23,467.90","24,181.00","25,042.20","27,736.10","30,173.10","32,092.90","33,251.90","33,909.40","35,149.20","35,874.00","36,843.50"